,Year,Party,Topics
41,1940,Democratic,"Preamble, Fulfilling American Ideal, We Must Strengthen Democracy Against Aggression, We Must Strengthen Democracy By Increasing Our Economic Efficiency, The Land and the Farmer, Industry and the Worker, Capital and the Business Man, Electric Power, Developments of Western Resources, Radio, We Must Strengthen Democracy By Improving the Welfare of the People, Unemployment, Social Security, Health, Youth and Education, Slum-Clearance and Low-Rent Housing, Consumers, Negroes, Veterans, Indians, Civil Service, Territories and District of Columbia, True First Line of Defense, Our Democratic Faith"
42,1936,Republican,"Constitutional Government and Free Enterprise, Reemployment, Relief, Security, Labor, Agriculture, Tariff, Monopolies, Regulation of Business, Civil Service, Government Finance, Money and Banking, Foreign Affairs, National Defense, Bill of Rights, Furthermore, Conclusion"
43,1936,Democratic,"For the Protection of the Family and the Home, Savings and Investment, Old Age and Social Security, Consumer, Rural Electrification, Housing, Veterans, For the Establishment of a Democracy of Opportunity, Agriculture, Labor, Business, Youth, Monopoly and Concentration of Economic Power, Aid to Those Overtaken By Disaster, Unemployment, The Constitution, The Merit System in Government, Civil Liberties, Government Finance, Foreign Policy, The Issue"
44,1932,Republican,"Leadership, Unemployment and Relief, Public Economy, Banks and the Banking System, International Conference, Home Loan Discount Bank System, Agriculture, Tariff and the Marketing Act, The Tariff, Veterans, Foreign Affairs, Friendship and Commerce, Conditions on the Pacific, Latin-America, World Court, Reduction of Armament, National Defense, Wages and Work, Immigration, Department of Labor, Labor, Employment, Freedom of Speech, Public Utilities, Transportation, Inland Waterways, St. Lawrence Seaway, Highways, Crime, Narcotics, Civil Service, The Eighteenth Amendment, Conservation, The Negro, Hawaii, Puerto Rico, Alaska, Welfare Work and Children, Indians, Reorganization of Government Bureaus, Democratic Failure, Party Government, Conclusion"
45,1932,Democratic,
46,1928,Republican,"The National Administration, Public Economy, Finance and Taxation, The Public Debt, Tax Reduction, Tariff, Foreign Debts, Settlement of War Claims, Foreign Policies, Civil Service, Agriculture, Mining, Highways, Labor, Railroads, Merchant Marine, Mississippi Flood Relief and Control, Radio, Waterways, Veterans, Public Utilities, Conservation, Law Enforcement, Honesty in Government, Campaign Expenditures, Reclamation, Commercial Aviation, Immigration, Naturalization, Navy, Hawaii-Alaska, Women and Public Service, National Defense, Our Indian Citizens, The Negro, Home Rule, to make the service more attractive as to wages and retirement privileges, and we commend what has been done, as a step in the right direction."
47,1928,Democratic,"The Rights of the States, Republican Corruption, Economy And Reorganization, Financing and Taxation, Tariff, Civil Service, Agriculture, Mining, Foreign Policy, Waterpower, Waterways and Flood Control, Conservation And Reclamation, Transportation, Labor, Unemployment, Accident Compensation to Government Employees, Federal Employees, Veterans, Women and Children, Immigration, Radio, Coal, Congressional Election Reform, Law Enforcement, Campaign Expenditures, Merchant Marine, Armenia, Education, Monopolies and Anti-Trust Laws, Canal Zone, Alaska—Hawaii, Puerto Rico, Philippines, Public Health, Conclusion, to a provision of the federal Constitution, which it has flagrantly disregarded and to apologize to the country for its failure to enforce laws enacted by the Congress of the United States. Speaking for the national Democracy, this convention pledges the party and its nominees to an honest effort to enforce the eighteenth amendment and all other provisions of the federal Constitution and all laws enacted pursuant thereto."
48,1924,Republican,"Situation in 1921, Public Economy, Finance and Taxation, Reorganization, Civil Service, Foreign Debts, The Tariff, Foreign Relations, Agriculture, Highways, Labor, Railroads, Government Control, Coal, Merchant Marine, Waterways, World War Veterans, Conservation, Education and Belief, War-Time Mobilization, Commercial Aviation, Army and Navy, The Negro, Orderly Government, Immigration"
49,1924,Progressive,"Fundamental Rights in Danger, Distress of American Farmers, A Covenant With the People, The House Cleaning, Natural Resources, Railroads, Tax Reduction, The Courts, The Farmers, Labor, Postal Service, War Veterans, Great Lakes to Sea, Popular Sovereignty, Peace on Earth"
50,1924,Democratic,"Democratic Principles, Comparison of Parties, G. O. P. Corruption, Issues, Tariff and Taxation, Agriculture, Railroads, Muscle Shoals, Credit and Currency, Reclamation, Conservation, Improved Highways, Mining, Merchant Marine, Necessities of Life, Education, Civil Service, Postal Employes, Popular Elections, Probation, Activities of Women, Veterans of Wars, Contributions, Narcotics, Prohibition Law, Rights of States, Asiatic Immigration, Philippines, Alaska, Hawaii, Virgin Islands, Lausanne Treaty, Disarmament, Greece, Personal Freedom, League of Nations, Waterways, Flood Control, Private Monopolies, Fraudulent Stock Sale, Aviation, Labor, Child Welfare, Latin-America"
51,1920,Democratic,"League of Nations, Senate Rules, Conduct of the War, Financial Achievements, Tax Revision, Public Economy, High Cost of Living, The Tariff, Budget, Agricultural Interests, Labor and Industry, Woman's Suffrage, Welfare of Women and Children, Education, Women in Industry, Disabled Soldiers, The Railroads, Improved Highways, The Postal Service, Free Speech and Press, Inland Waterways, Merchant Marine, Reclamation of Arid Lands, Flood Control, The Trade Commission, Live Stock Markets, Port Facilities, Petroleum, Mexico, Ireland, Armenia, Porto Rico, Alaska, The Philippines, Hawaii, New Nations, Asiatic Immigrants, Republican Corruption, Conclusion"
52,1920,Republican,"Unpreparedness for War, Unpreparedness for Peace, Constitutional Government, Foreign Relations, Congress and Reconstruction, Agriculture, Industrial Relations, National Economy, The Executive Budget, Reorganization of Federal Departments and Bureaus, War Powers of the President, Taxation, Banking and Currency, The High Cost of Living, Profiteering, Railroads, Waterways, Regulation of Industry and Commerce, International Trade and Tariff, Merchant Marine, Immigration, Naturalization, Free Speech and Alien Agitation, Lynching, Public Roads and Highways, Conservation, Reclamation, Army and Navy, The Service Men, Civil Service, Postal Service, Woman Suffrage, Social Progress, Education and Health, Child Labor, Women in Industry, Housing, Hawaii"
53,1916,Republican,"Protection of American Rights, Foreign Relations, Mexico, Monroe Doctrine, Latin America, Philippines, Right of Expatriation, Protection of the Country, Tariff, Business, Rural Credits, Rural Free Delivery, Merchant Marine, Transportation, Economy and a National Budget, Conservation, Civil Service Reform, Territorial Officials, Labor Laws, Suffrage, Conclusion"
54,1916,Democratic,"I. Record of Achievement, II. Economic Freedom, III. Tariff, IV. Americanism, V. Preparedness, VI. International Relation, VII. Pan-American Concord, VIII. Mexico, IX. Merchant Marine, X. Conservation, XI. the Administration and the Farmer, XII. Good Roads, XIII. Government Employment, XIV. Labor, XV. Public Health, XVI. Senate Rules, XVII. Economy and the Budget, XVIII. Civil Service, XIX. Philippine Islands, XX. Woman Suffrage, XXI. Protection of Citizens, XXII. Prison Reform, XXIII. Pensions, XXIV. Waterways and Flood Control, XXV. Alaska, XXVI. Territories, XXVII. Candidates, XXVIII. Conclusion"
55,1912,Progressive,"The Old Parties, A Covenant With the People, The Rule of the People, Amendment of Constitution, Nation and State, Equal Suffrage, Corrupt Practices, Publicity and Public Service, The Courts, Administration of Justice, Social and Industrial Justice, Department of Labor, Country Life, High Cost of Living, Health, Business, Patents, Inter-State Commerce Commission, Currency, Commercial Development, Conservation, Good Roads, Alaska, Waterways, Panama Canal, Tariff, Inheritance and Income Tax, Peace and National Defense, Treaty Rights, The Immigrant, Pensions, Parcel Post, Civil Service, Government Business Organization, Government Supervision Over, Investments, Conclusion"
56,1912,Republican,"Monopoly and Privilege, Federal Trade Commission, The Tariff, Cost of Living, Banking and Currency, The Civil Service, Campaign Contributions, Conservation Policy, Parcels Post, Protection of American Citizenship, The Navy, Merchant Marine, Flood Prevention in the Mississippi Valley, Reclamation, Rivers and Harbors, Alaska, Philippine Policy, Immigration, Safety at Sea, Republican Accomplishment, Economy and Efficiency in Government, Civic Duty, Arizona and New Mexico, Republican Administration"
57,1912,Democratic,"Tariff Reform, High Cost of Living, Anti-Trust Law, Rights of the States, Income Tax and Popular Election of, Senators, Presidential Primary, Campaign Contributions, Term of President, Democratic Congress, Republican Extravagance, Railroads, Express Companies, Telegraph and Telephone Lines, Banking Legislation, Rural Credits, Waterways, Post Roads, Rights of Labor, Conservation, Agriculture, Merchant Marine, Pure Food and Public Health, Civil Service Law, Law Reform, The Philippines, Arizona and New Mexico, Alaska, The Russian Treaty, Parcels Post and Rural Delivery, Panama Canal Exposition, Protection of National Uniform, Pensions, Rule of the People, Conclusion"
58,1908,Democratic,"Increase of Office Holders, Economy in Administration, Arbitrary Power—the Speaker, Misuse of Patronage, Publicity of Campaign Contributions, The Rights of the States, Tariff, Trusts, Railroad Regulation, Banking, Income Tax, Labor and Injunctions, Merchant Marine, The Navy, Protection of American Citizens, Civil Service, Pensions, Health Bureau, Agricultural and Mechanical Education, Popular Election of Senators, Oklahoma, Panama Canal, Arizona and New Mexico, Grazing Lands, Waterways, Post Roads, Telegraph and Telephone, Natural Resources, Hawaii, The Philippines, Alaska and Porto Rico, Pan-American Relations, Asiatic Immigration, Foreign Patents, Conclusion"
59,1908,Republican,"Republicanism Under Roosevelt, Equality of Opportunity, The Revival of Business, Recent Republican Legislation, Republican Pledges for the Future, Tariff, Currency, Postal Savings, Trusts, Railroads, Railroad and Government Employees, Wage-Earners Generally, Court Procedure, The American Farmer, Rights of the Negro, Natural Resources and Waterways, The Army and Navy, Protection of American Citizens Abroad, Extension of Foreign Commerce, Arbitration and the Hague Treaties, Merchant Marine, Veterans of the Wars, Civil Service, Public Health, Bureau of Mines and Mining, Cuba, Porto Rico, Philippines, and Panama, New Mexico and Arizona, Centenary of the Birth of Lincoln, Democratic Incapacity for Government, Fundamental Differences Between Democracy and Republicanism"
60,1904,Republican,
61,1904,Democratic,"Fundamental Principles, Economy of Administration, Honesty in the Public Service, Federal Government Contracts With Trusts, Executive Usurpation, Imperialism, Tariff, Trusts and Unlawful Combinations, Capital and Labor, Constitutional Guaranties, Waterways, Reclamation of Arid Lands and Domestic Development, The Isthmian Canal, American Citizenship, Election of Senators By the People, Statehood for Territories, Condemnation of Polygamy, Merchant Marine, Reciprocity, Monroe Doctrine, Army, Pensions: Our Soldiers and Sailors, Civil Service, Sectional and Race Agitation, The Republican Administration, Appeal to the People"
62,1900,Republican,
63,1900,Democratic,
64,1896,Republican,
65,1896,Democratic,"The Money Plank, Interest-Bearing Bonds, Against National Banks, Tariff Resolution, Immigration and Arbitration, Trusts and Pools, Declare for Economy, Federal Interference in Local Affairs, Pacific Railroad, Pensions, Admission of Territories, Sympathy for Cuba, Civil-Service Laws, Third-Term Resolution, Improvement of Waterways, Conclusion"
66,1892,Populist,"Preamble, Platform"
67,1892,Republican,"Southern Outrages, Foreign Relations, Miscellaneous, Nicaragua Canal, Territories, Arid Lands, The Columbian Exposition, Intemperance, Pensions, Harrison's Administration"
68,1892,Democratic,
69,1888,Republican,
70,1888,Democratic,
71,1884,Republican,
72,1884,Democratic,
73,1880,Republican,
74,1880,Democratic,
75,1876,Republican,
76,1876,Democratic,
77,1872,Republican,
78,1872,Democratic,.
79,1868,Republican,
80,1868,Democratic,
81,1864,Republican,
82,1864,Democratic,
83,1860,Constitutional,
84,1860,Republican,
85,1860,Democratic,
86,1860,Democratic,
87,1856,Republican,
88,1856,Whig,
89,1856,Democratic,
90,1852,Whig,
91,1852,Democratic,
92,1848,Whig,
93,1848,Democratic,
94,1844,Democratic,
95,1844,Whig,
96,1840,Democratic,
